,item,item_id
147,12008,891
148,28635,6412
149,29652,7396
150,30035,7727
151,5651,11387
152,5652,11388
154,14005,1961
155,31911,9119
157,10890,230
158,14084,1998
159,966,12932
160,11974,865
161,12776,1274
162,18945,2637
164,28419,6209
166,7931,12477
167,11201,394
168,11375,497
169,12005,888
170,12010,894
171,1346,1672
172,13912,1936
173,18816,2559
174,25852,4522
175,25856,4525
176,25981,4598
177,25982,4599
178,26252,4767
179,26850,5165
180,28055,5913
181,28258,6076
182,28416,6206
183,28595,6378
184,28619,6401
185,28921,6664
186,29571,7311
187,29573,7313
188,29699,7439
189,31151,8563
190,31274,8618
191,31851,9050
192,31954,9162
194,3630,10454
195,4056,10699
196,4057,10700
197,4355,10839
199,12215,1010
200,20150,3309
201,24136,3922
202,26293,4796
203,29490,7230
204,5002,11099
205,5491,11305
206,11942,844
207,12483,1178
209,18807,2554
210,25732,4427
212,27561,5614
215,31481,8717
216,31484,8720
217,31486,8722
219,8232,12636
221,11239,432
222,12007,890
223,25399,4252
225,1866,2446
226,5054,11118
227,5877,11454
228,1962,3088
229,31926,9134
230,7629,12334
231,13342,1595
232,19177,2812
233,19186,2820
234,26843,5155
235,28196,6012
237,32667,9848
238,25907,4557
239,31740,8942
240,3872,10579
241,4687,10995
242,523,11203
243,7922,12470
244,29011,6748
245,29011attr2597,6749
246,29103,6849
247,29171,6945
248,29176,6951
249,29201,6966
250,30633,8130
251,31146,8558
252,4021,10676
253,4218,10783
254,4519,10913
255,6781,11948
256,87,12775
258,11136,359
259,1362,1758
260,14114,2018
261,881,12783
263,28240,6051
264,32487,9669
266,30892,8339
267,31452,8695
269,18637,2430
270,19598,3072
271,25683,4390
272,28353,6162
273,31806,9006
274,31819,9018
275,6704,11904
276,29088,6828
277,29100,6843
278,29111,6859
279,32170,9371
280,12478,1175
281,13607,1751
282,26635,5024
284,31461,8701
285,31581,8803
286,3633,10457
287,25429,4272
288,4430,10879
290,30427,7947
292,31647,8858
293,19600,3075
294,25680,4387
295,11867,783
296,25832,4507
297,32512,9695
298,6462,11780
300,28291,6111
302,29862,7584
304,1870,2466
305,1879,2540
306,1880,2549
307,4409,10859
308,20141,3301
310,29178,6953
311,32015,9224
312,32213,9416
313,32279,9480
315,3824,10554
316,3960,10634
317,3962,10635
318,4298,10818
321,12219,1014
322,19748,3137
323,30128,7809
324,31062,8482
325,25830,4506
326,27759,5744
331,28333,6142
333,32796,9975
334,8072,12531
335,8097,12547
337,1938,2905
338,27237,5404
339,29113,6863
340,10680,110
341,12308,1059
342,28677,6446
343,28678,6447
344,28680,6449
345,28684,6451
346,29358,7116
347,29158,6921
349,31610,8824
350,32043,9250
351,3539,10417
352,3541,10425
353,3558,10440
354,27383,5493
355,28601,6385
356,31879,9077
357,11592,639
358,29623,7369
359,29628,7374
360,30771,8245
361,31464,8703
363,35239,10368
364,6396,11741
365,18554,2392
366,31272,8617
367,1331,1575
368,25430,4273
369,25963,4584
370,19747,3136
371,29182,6957
372,28241,6052
374,13067,1446
375,18401,2299
376,29717,7459
377,4874,11073
378,6515,11800
380,12259,1031
381,25667,4370
386,31289,8629
387,7455,12249
388,7933,12478
389,28946,6684
390,8049,12519
391,12848,1311
393,11355,488
394,11457,547
395,11508,589
396,11511,592
397,14141,2050
398,27770,5750
399,28912,6659
400,30853,8301
401,8219,12624
402,8416,12742
403,12257,1030
405,18532,2380
407,3625,10450
408,3640,10463
409,1412,2023
410,1936,2899
411,20143,3303
412,27849,5797
413,28584,6366
415,31881,9079
416,12173,990
418,12218,1013
420,27478,5580
421,29989,7691
422,32425,9614
423,32453,9639
424,3629,10453
426,4521,10914
427,7751,12378
428,19320,2877
430,24568,4123
431,3951,10629
433,20458,3452
434,24072,3884
435,29586,7328
436,576,11420
437,583,11437
439,30862,8306
441,11916,821
442,28001,5877
443,29575,7315
445,3727,10501
446,3846,10564
447,3875,10582
449,10819,184
450,28721,6498
451,28724,6501
452,31526,8751
453,6835,11978
454,11700,697
455,18715,2478
456,26756,5091
457,31278,8620
458,12072,924
459,19856,3189
460,25888,4538
461,6939,12024
462,12484,1179
463,29279,7045
464,29444,7178
466,30967,8407
468,11847,771
469,1194,842
470,1370,1795
471,1380,1877
472,1414,2048
473,2458,4130
474,30381,7911
475,30508,8016
476,32013,9222
477,32067,9272
478,32433,9621
479,3849,10566
480,6732,11913
482,29359,7117
483,29364,7121
484,30729,8206
485,11589,638
486,28418,6208
487,5808,11432
488,1121,403
489,11653,665
490,11925,829
491,11996,880
492,14456,2094
493,18704,2469
494,19174,2808
495,19874,3199
496,23674,3687
497,25841,4513
498,25850,4520
499,25909,4559
500,26341,4835
501,26522,4950
502,27920,5854
503,28352,6161
506,29157,6919
507,29337,7098
508,29574,7314
509,30612,8108
510,31047,8469
511,31667,8875
512,31821,9020
513,32040,9247
515,32048,9255
516,32374,9566
517,4970,11096
519,6863,11991
520,8067,12527
521,1382,1892
522,29747,7490
523,7647,12338
524,7648,12339
525,29469,7208
527,18681,2459
529,28259,6077
530,3957,10633
533,10960,272
534,11211,405
535,26049,4645
536,28095,5945
537,30106,7790
538,3157,8789
539,5521,11323
540,5525,11327
541,6938,12023
542,911,12830
543,8058,12525
544,8075,12533
545,26143,4704
546,26147,4708
547,30570,8074
548,32004,9214
549,26994,5249
550,29443,7177
551,30365,7899
552,31841,9040
553,32660,9841
554,4691,11000
555,600,11516
556,7921,12469
557,86,12774
558,94,12907
559,12824,1296
560,12825,1297
561,26005,4613
562,26358,4846
563,29578,7318
564,30483,7997
565,31147,8559
567,31366,8646
569,5596,11372
570,598,11502
571,7189,12131
574,26022,4626
576,28334,6143
578,31955,9163
579,4356,10840
580,6105,11576
581,8231,12635
582,879,12780
583,952,12920
584,28711,6488
586,18515,2362
587,2712,5312
588,2713,5317
589,10986,286
590,12393,1114
591,13861,1914
592,7762,12382
593,29084,6824
595,31853,9052
596,6073,11566
598,29633,7379
599,30774,8248
604,28433,6220
605,28656,6430
606,28745,6517
609,5304,11241
611,25564,4293
612,8317,12689
613,19660,3104
614,27891,5829
618,7844,12419
619,8408,12739
620,28273,6094
622,18638,2431
623,28616,6398
624,2974,7484
625,31802,9002
626,4621,10961
628,28234,6046
629,28594,6377
630,31864,9062
631,31984,9194
634,32001,9211
635,11215,409
636,11219,412
637,11220,413
638,26359,4847
639,29674,7413
643,19132,2771
644,25962,4583
645,27885,5823
647,32428,9616
649,7919,12464
650,9191,12875
652,92,12879
653,13831,1902
654,26271,4781
656,7679,12351
657,12400,1122
658,12401,1123
659,23656,3675
660,29522,7252
661,4934,11089
662,8190,12602
663,97,12936
664,18683,2460
666,25738,4432
667,32515,9698
669,11326,481
671,27170,5356
672,27222,5395
673,30550,8054
677,26368,4856
678,27396,5502
679,28249,6058
680,28262,6081
681,28281,6102
682,28336,6145
683,30342,7879
685,31558,8778
686,10738,143
687,1160,641
688,1161,647
689,1171,705
690,26819,5134
692,8078,12534
693,25991,4606
694,5154,11158
697,4372,10845
698,4438,10881
699,31719,8921
700,31978,9189
701,1299,1397
702,27691,5701
705,5498,11309
708,28250,6064
711,1955,3027
712,2255,3612
713,29580,7322
715,5238,11206
716,11689,690
717,12541,1209
719,19305,2865
721,30932,8378
722,6205,11642
723,11058,315
724,11682,685
725,12965,1384
726,13640,1774
727,20435,3434
728,27227,5396
729,27357,5471
730,28181,6001
733,30501,8010
736,31955attr3219,9165
737,32045,9252
738,32257,9461
740,32628,9813
742,3985,10647
743,3985attr487,10649
745,4622,10962
747,11378,500
748,11896,805
749,12163,983
751,13769,1845
752,13818,1891
753,14421,2071
754,18553,2391
755,18881,2601
756,19030,2702
757,23813,3775
758,25677,4383
759,28051,5909
760,29569,7309
762,29680,7420
763,30390,7916
764,30982,8421
765,31662,8870
767,32484,9666
769,7817,12412
771,11712,706
773,28774,6544
774,28775,6545
775,30696,8183
777,11868,784
779,26903,5192
780,28528,6315
782,20387,3406
784,8173,12593
785,19085,2740
786,26414,4886
789,28335,6144
790,29953,7663
791,30738,8216
795,19571,3039
796,19571attr795,3042
797,27556,5609
798,3647,10469
799,3888,10591
800,5086,11134
801,8091,12543
802,8093,12544
803,18558,2396
804,27178,5364
806,1192,825
807,19354,2895
808,31755,8956
809,12281,1041
810,12516,1198
813,11314,463
814,28165,5987
816,29022,6765
819,29209,6980
820,3821,10552
824,12033,911
825,29014,6754
826,32794,9973
827,1479,2114
828,20384,3405
831,11376,498
832,30047,7738
833,31487,8723
834,32235,9438
835,11088,338
836,11681,684
837,13782,1860
838,27008,5261
839,282,6016
840,28409,6198
841,29567,7308
844,30526,8032
845,3829,10557
846,4612,10954
847,5518,11320
848,6668,11885
849,9169,12857
850,11403,514
851,12867,1322
852,18511,2354
854,23668,3681
855,23781,3753
856,23781attr1990,3756
857,25370,4242
858,28913,6660
859,29357,7115
863,4014,10670
866,13020,1417
868,24255,3985
869,26512,4942
870,28529,6316
873,31189,8584
874,31868,9066
875,32155,9358
876,4640,10971
877,5629,11376
878,7674,12347
880,28341,6149
882,28596,6379
883,28611,6393
884,12422,1137
885,2574,4433
886,32573,9756
888,25834,4508
889,1378,1857
890,18657,2443
892,19220,2829
893,19299,2860
894,2500,4221
895,2575,4439
897,32784,9963
898,4022,10677
899,4214,10779
902,1291,1347
903,29926,7636
904,24382,4019
906,10578,79
907,19605,3080
908,28415,6205
909,29434,7168
910,29607,7350
918,26088,4673
919,26099,4683
920,29172,6946
922,3847,10565
923,5050,11117
925,28243,6054
926,31096,8515
927,31890,9087
928,32575,9758
929,5670,11397
932,11233,426
933,11379,501
934,11381,503
935,18777,2524
936,20419,3425
937,2221,3574
938,2221attr92,3576
939,26279,4787
940,27610,5657
941,28964,6697
942,32169,9370
943,32361,9552
945,3626,10451
946,11608,645
949,13008,1405
950,18406,2302
951,19479,2971
953,23733,3720
954,23792,3766
955,25797,4480
956,25815,4495
958,26717,5068
959,26962,5233
960,27359,5473
961,27423,5519
962,27624,5665
963,28237,6048
965,28551,6334
966,28888,6634
967,29073,6808
968,29126,6875
971,31490,8726
975,32173,9377
977,4580,10944
980,601,11527
981,602,11539
982,7185,12127
985,25427,4271
988,25562,4291
994,3753,10511
995,7681,12352
998,28164,5986
999,11986,872
1002,25849,4518
1003,26189,4728
1007,30571,8075
1013,32587,9769
1014,32783,9962
1015,6162,11623
1016,24448,4058
1017,26010,4617
1018,27890,5828
1019,28495,6283
1020,12905,1343
1022,26422,4894
1027,12011,895
1028,18782,2532
1030,2015,3308
1031,26282,4790
1032,26283,4791
1038,29555,7284
1042,31270,8615
1046,31939,9147
1050,6742,11922
1051,11532,607
1053,26543,4959
1054,26712,5066
1055,27508,5589
1056,32164,9365
1058,13571,1737
1060,25949,4575
1061,26825,5139
1062,29460,7194
1063,30716,8195
1067,29448,7182
1068,31951,9159
1069,35227,10357
1070,4120,10728
1071,89,12795
1072,12456,1158
1073,12457,1159
1074,12828,1298
1075,1943,2930
1076,29499,7238
1077,383,10558
1078,384,10561
1079,406,10701
1082,13302,1569
1083,13303,1570
1084,19072,2729
1085,19094,2748
1086,23649,3668
1087,23650,3670
1088,23651,3671
1089,23652,3672
1090,24121,3914
1092,25678,4384
1093,25679,4385
1094,25693,4397
1095,25916,4564
1097,26516,4945
1098,26517,4946
1099,26518,4947
1100,26519,4948
1101,26520,4949
1102,26678,5048
1103,26987,5246
1104,27072,5277
1105,27130,5318
1106,28430,6217
1107,29010,6747
1108,29012,6751
1109,29015,6756
1110,29017,6759
1112,29177,6952
1114,29197,6961
1115,29221,6995
1116,29550,7279
1117,29552,7281
1118,29677,7416
1120,31142,8551
1122,31485,8721
1123,31823,9022
1124,31824,9023
1125,31934,9142
1128,32325,9523
1129,32384,9576
1130,32670,9851
1131,3519,10320
1132,3532,10389
1133,3533,10393
1134,3538,10414
1136,3559,10441
1137,3756,10513
1139,4784,11043
1140,5189,11182
1142,6722,11911
1144,7289,12178
1145,7339,12200
1146,11973,864
1148,31097,8516
1149,31098,8517
1150,24679,4168
1152,5595,11371
1153,13745,1826
1154,18627,2424
1155,19435,2933
1156,25749,4438
1157,25750,4440
1158,25804,4486
1159,3645,10468
1160,4419,10871
1161,24578,4129
1162,26250,4765
1163,28257,6075
1168,13404,1638
1169,26514,4944
1170,29746,7489
1175,29476,7214
1177,17777,2246
1180,25840,4512
1181,25857,4526
1183,29303,7070
1184,31482,8718
1185,31766,8966
1186,31770,8970
1187,31786,8986
1188,3902,10596
1190,32014,9223
1191,32301,9498
1195,32303,9500
1197,26031,4633
1198,30507,8015
1200,13859,1913
1201,11820,751
1202,11852,775
1203,11853,776
1205,12477,1174
1206,18453,2326
1210,18846,2583
1214,20161,3314
1216,25706,4406
1218,27104,5297
1219,28200,6017
1223,28346,6155
1226,28431,6218
1228,31627,8841
1233,4398,10855
1237,641,11753
1238,6774,11940
1240,7459,12253
1241,7925,12472
1244,31646,8857
1246,27358,5472
1247,29044,6781
1248,29052,6788
1251,3964,10637
1254,8175,12595
1255,8274,12660
1257,19235,2836
1258,30602,8099
1259,4203,10772
1260,6856,11985
1264,27930,5860
1265,2802,5884
1266,29622,7368
1268,9102,12827
1270,29271,7036
1273,3795,10528
1274,4486,10896
1276,11603,642
1277,1528,2135
1278,20001,3249
1280,4180,10754
1281,4401,10858
1282,4443,10885
1283,7628,12333
1284,7918,12463
1285,8279,12664
1286,27215,5394
1287,31368,8648
1288,34900,10115
1290,25788,4472
1291,30593,8094
1292,10732,140
1293,12352,1089
1294,1397,1955
1295,26323,4822
1296,26353,4843
1298,27635,5669
1299,28654,6428
1301,29098,6839
1302,30539,8045
1303,30889,8326
1304,31580,8802
1306,31842,9041
1307,31889,9086
1308,32022,9231
1309,32096,9299
1311,32662,9843
1312,3690,10485
1313,3693,10488
1314,4719,11017
1321,10913,242
1323,11386,508
1324,11781,727
1325,13305,1571
1326,18706,2471
1327,19010,2684
1328,19239,2840
1331,19901,3215
1332,20484,3471
1333,24742,4188
1334,25968,4588
1335,26537,4953
1337,26791,5119
1338,27145,5332
1339,27584,5636
1340,27587,5638
1341,27595,5647
1342,27720,5722
1343,2781,5771
1344,2786,5803
1345,2788,5817
1346,2793,5859
1347,2798,5870
1348,2799,5871
1349,29138,6890
1350,29265,7030
1351,30118,7799
1352,30123,7803
1353,30611,8107
1354,30890,8331
1355,31188,8583
1359,4023,10678
1361,6445,11769
1363,28263,6085
1365,18820,2563
1369,10813,181
1370,11954,849
1371,19804,3154
1373,31212,8591
1374,31799,8999
1375,4677,10989
1376,7523,12280
1377,26045,4641
1378,26655,5039
1380,3760,10515
1382,11413,526
1384,17961,2260
1389,28663,6434
1391,29675,7414
1392,30761,8238
1394,12238,1023
1395,12247,1025
1396,13227,1529
1397,2689,5182
1398,35326,10390
1400,11994,878
1401,12006,889
1402,12310,1062
1403,18812,2556
1404,19875,3200
1406,25845,4514
1411,28755,6525
1412,28756,6526
1413,29617,7362
1417,34888,10103
1418,3937,10615
1419,614,11591
1420,13854,1910
1422,32207,9410
1426,25433,4276
1427,26274,4783
1428,28056,5914
1434,32486,9668
1435,13425,1645
1436,19224,2832
1437,1941,2913
1438,24501,4087
1439,29142,6898
1445,32364,9555
1446,5483,11302
1447,12507,1189
1449,20405,3415
1451,28348,6157
1452,28617,6399
1453,28618,6400
1454,6337,11708
1455,6340,11711
1457,12026,905
1459,19481,2973
1467,28119,5970
1468,28459,6247
1471,29056,6793
1472,29162,6928
1474,29254,7017
1475,29297,7064
1476,29818,7549
1477,30153,7815
1482,32369,9560
1483,35110,10263
1485,3762,10516
1487,3823,10553
1489,4696,11004
1491,5968,11491
1492,6531,11809
1493,7181,12124
1507,32132,9335
1509,5846,11441
1510,9155,12845
1513,18552,2390
1517,28767,6537
1520,1153,604
1521,1172,712
1523,12772,1271
1524,25816,4496
1525,26818,5133
1526,26820,5135
1527,27942,5865
1528,30805,8259
1529,4605,10947
1531,8252,12647
1532,26787,5117
1533,4491,10900
1534,30450,7967
1536,10660,104
1537,11673,678
1539,11691,693
1542,11714,708
1543,11780,724
1545,12617,1228
1546,13457,1670
1548,25608,4318
1549,26473,4920
1550,26757,5092
1551,26971,5236
1552,27000,5254
1553,27177,5363
1554,27210,5390
1555,28323,6134
1557,28952,6690
1559,29619,7364
1560,30116,7797
1561,30540,8046
1562,31235,8605
1563,4241,10792
1564,4497,10904
1567,7884,12445
1570,13009,1406
1571,13144,1489
1572,28647,6421
1573,30348,7886
1575,7337,12199
1578,24200,3964
1579,2490,4219
1582,30055,7746
1583,30411,7932
1584,30684,8175
1585,31505,8740
1586,32123,9330
1587,32503,9686
1588,4216,10781
1590,11469,557
1591,14119,2022
1592,23720,3713
1593,26690,5052
1594,27279,5428
1595,2840,6194
1596,31847,9046
1597,31893,9089
1598,6394,11739
1599,957,12923
1600,32478,9661
1601,32493,9675
1602,800,12499
1603,962,12927
1604,6861,11989
1605,6864,11994
1607,2185,3551
1608,26830,5144
1609,27256,5417
1610,27464,5568
1611,28322,6133
1613,31718,8920
1614,4187,10760
1615,5062,11122
1616,7550,12298
1617,7815,12410
1622,7907,12457
1624,11474,560
1625,11478,562
1626,13910,1934
1628,31479,8715
1629,31480,8716
1632,18996,2676
1633,20483,3470
1634,26269,4779
1635,27592,5644
1637,27921,5855
1638,29911,7624
1639,30625,8121
1640,31813,9012
1641,32265,9468
1642,32269,9471
1645,29611,7355
1646,29621,7367
1647,8069,12528
1648,8393,12730
1649,18679,2456
1651,1108,331
1652,27120,5313
1654,11315,475
1656,19138,2775
1658,29453,7187
1659,29466,7205
1660,31045,8467
1661,5080,11130
1663,8230,12634
1668,1951,2994
1669,2614,4700
1670,32079,9284
1671,32081,9286
1673,31571,8791
1674,31838,9037
1675,26782,5114
1677,31943,9151
1680,12016,899
1682,12027,906
1683,12869,1324
1684,13740,1823
1686,20087,3282
1688,25650,4353
1689,25661,4362
1692,29250,7014
1693,29553,7282
1694,29720,7463
1695,29794,7529
1696,29796,7531
1699,31152,8564
1703,31429,8680
1704,31436,8687
1707,31931,9139
1708,31950,9158
1709,32750,9929
1710,32751,9930
1712,3786,10523
1715,7336,12198
1719,24463,4070
1720,24463attr795,4072
1721,24470,4075
1722,29976,7679
1724,32188,9391
1726,7549,12297
1732,13781,1859
1733,13813,1887
1737,31508,8741
1739,32032,9239
1741,4165,10743
1743,27656,5684
1744,28971,6703
1745,29757,7495
1747,31364,8642
1748,31388,8667
1754,13399,1634
1755,13920,1943
1756,27053,5270
1757,27054,5271
1759,3752,10510
1761,5906,11465
1763,13398,1633
1769,14073,1989
1770,1669,2199
1772,19468,2962
1775,32175,9379
1776,32178,9382
1779,6430,11761
1780,13222,1524
1781,13380,1623
1784,28506,6295
1785,29018,6760
1786,32069,9274
1787,6872,12000
1790,34896,10111
1791,35038,10205
1794,12298,1052
1795,19278,2853
1796,19723,3124
1797,19803,3153
1798,2253,3611
1800,2578,4464
1803,4248,10797
1804,5312,11247
1806,6873,12001
1808,19127,2768
1809,2229,3586
1810,27757,5742
1811,29520,7250
1812,29659,7403
1816,35224,10354
1817,3627,10452
1818,4417,10869
1819,8471,12766
1821,14076,1991
1822,18390,2292
1824,18464,2338
1825,18465,2340
1826,18988,2669
1828,25724,4422
1833,30451,7968
1834,30461,7975
1836,9154,12844
1840,24198,3962
1841,5685,11402
1843,28251,6068
1844,28284,6105
1845,29345,7107
1846,30735,8213
1847,30737,8215
1850,7807,12399
1851,13361,1612
1852,28832,6585
1856,31888,9085
1857,31992,9202
1861,8316,12688
1862,26224,4748
1863,29629,7375
1865,5669,11395
1866,10556,62
1867,14123,2030
1868,19823,3171
1869,7071,12080
1870,7486,12270
1871,12409,1129
1872,5220,11202
1873,24085,3895
1875,25976,4595
1876,27249,5409
1877,28100,5951
1878,28978,6709
1879,29124,6873
1882,6643,11870
1883,1472,2110
1885,12068,921
1891,30939,8385
1892,31948,9156
1895,30883,8322
1896,30884,8323
1897,31077,8494
1898,31078,8495
1902,31751,8952
1905,18463,2336
1906,2220,3572
1908,2233,3593
1909,30594,8095
1910,30603,8100
1911,6853,11982
1912,25812,4492
1914,31474,8710
1915,31475,8711
1916,31663,8871
1921,10702,120
1922,12518,1200
1924,12868,1323
1925,152,2133
1926,26461,4909
1927,30168,7817
1928,31666,8874
1932,4054,10697
1935,29777,7514
1939,4490,10899
1942,28498,6286
1943,28500,6289
1944,29137,6889
1945,30370,7904
1951,13339,1593
1953,21560,3514
1956,30747,8224
1957,31110,8528
1958,31378,8657
1959,32305,9502
1961,7159,12114
1962,7640,12335
1965,20146,3305
1966,1287,1325
1967,1290,1341
1969,20449,3447
1970,26997,5252
1971,13505,1700
1972,19353,2894
1973,19363,2902
1974,2169,3541
1975,25705,4405
1976,26260,4772
1977,26698,5057
1978,28973,6705
1982,3759,10514
1983,6110,11580
1985,31237,8607
1987,1533,2139
1988,26472,4919
1991,11575,630
1992,29655,7399
1997,11460,549
1998,11461,550
1999,11577,631
2000,11713,707
2001,13735,1817
2002,13750,1830
2006,19886,3206
2009,23648,3667
2010,23737,3723
2011,24462,4067
2013,26041,4638
2014,26823,5137
2015,27461,5565
2017,28784,6552
2018,28838,6591
2020,29760,7498
2021,30018,7718
2022,30407,7929
2023,30459,7973
2024,3159,8811
2025,31810,9010
2030,32620,9802
2031,32682,9863
2033,35327,10391
2034,4009,10665
2037,4675,10987
2038,4896,11084
2039,5646,11383
2040,5647,11384
2042,6067,11561
2044,25813,4493
2048,1133,483
2051,25735,4430
2056,19887,3207
2057,29685,7425
2059,34894,10109
2062,25818,4498
2063,29849,7575
2068,27160,5348
2071,18513,2358
2073,24229,3980
2074,26573,4984
2076,27840,5795
2077,29620,7366
2079,30935,8381
2080,31030,8452
2081,31227,8599
2083,32068,9273
2085,8306,12685
2086,1854,2383
2087,26642,5030
2092,4696attr870,11007
2097,28989,6728
2098,29291,7058
2099,31944,9152
2103,17812,2253
2104,18550,2388
2107,25682,4389
2108,31284,8625
2111,32145,9348
2112,11388,510
2113,26901,5190
2114,31541,8762
2115,3873,10580
2121,11977,867
2125,18936,2631
2126,25432,4275
2131,12605,1223
2132,24363,4008
2133,25964,4585
2134,25966,4587
2135,26256,4770
2136,26602,5013
2137,28411,6201
2138,34877,10095
2144,8242,12642
2145,8301,12682
2146,28314,6127
2150,31994,9204
2151,35044,10210
2152,35196,10325
2153,6949,12033
2157,19572,3043
2158,19575,3050
2160,3967,10639
2162,6775,11941
2163,7188,12130
2165,7193,12135
2166,12057,915
2170,24619,4151
2171,26902,5191
2172,26940,5219
2174,29835,7564
2175,30007,7707
2176,31557,8777
2178,8260,12653
2181,19485,2977
2182,26731,5074
2183,28343,6152
2184,29616,7359
2185,30351,7888
2187,24377,4015
2188,4070,10704
2189,4070attr151,10705
2190,11878,793
2191,11887,798
2192,11929,834
2194,25699,4401
2195,25751,4441
2196,32059,9264
2198,12073,925
2199,30054,7745
2204,29471,7210
2205,4011,10667
2209,29645,7389
2211,32077,9282
2212,25985,4602
2214,3379,10031
2215,18389,2291
2216,27582,5634
2225,11210,404
2226,14115,2019
2231,27392,5499
2232,29672,7411
2233,30087,7771
2234,31760,8961
2237,779,12392
2238,781,12404
2239,12878,1329
2240,27143,5331
2243,4073,10707
2244,4074,10708
2245,10826,192
2247,12693,1249
2250,1476,2113
2251,19446,2939
2252,25771,4456
2254,31850,9049
2256,3711,10500
2259,6776,11942
2260,6788,11955
2262,7686,12353
2263,11354,487
2264,28176,5997
2272,30340,7877
2278,27135,5323
2280,2436,4007
2283,1029,31
2284,14105,2012
2285,27255,5416
2287,30493,8005
2289,6009,11526
2290,6932,12019
2291,7547,12296
2293,7553,12301
2294,7555,12303
2295,902,12806
2298,28034,5904
2301,5346,11260
2303,98,12948
2306,32116,9319
2308,6857,11986
2310,6866,11996
2313,29439,7173
2314,29516,7246
2315,30672,8163
2325,12967,1386
2329,1362attr46,1766
2330,24197,3961
2331,27157,5345
2333,30875,8318
2334,18805,2553
2335,28133,5982
2336,28216,6029
2337,28227,6039
2338,31271,8616
2339,28697,6459
2340,3943,10622
2345,29025,6768
2346,3814,10546
2348,6451,11771
2351,13733,1815
2352,1540,2143
2354,13414,1642
2355,1365,1779
2356,28934,6675
2357,7904,12454
2360,1458,2101
2362,18404,2301
2366,24549,4105
2367,25563,4292
2373,26924,5206
2377,31671,8879
2378,31717,8919
2382,28988,6717
2384,1109,340
2385,1364,1773
2386,14090,2003
2387,18371,2276
2389,5165,11168
2390,8229,12632
2399,29758,7496
2403,9133,12835
2404,9135,12836
2405,9136,12837
2407,4494,10902
2414,11997,881
2416,25690,4395
2423,594,11475
2424,1944,2937
2425,1945,2950
2426,26835,5149
2427,28298,6116
2429,30482,7996
2434,13395,1630
2435,13396,1631
2436,2418,3949
2437,2418attr1324,3955
2438,2438,4017
2439,2438attr2929,4025
2441,28287,6108
2443,32202,9403
2444,6199,11636
2446,26906,5194
2449,8152,12585
2451,19356,2896
2461,30643,8140
2462,30860,8305
2463,5883,11459
2464,6275,11679
2465,7365,12209
2468,26822,5136
2474,31829,9028
2475,31830,9029
2478,3878,10583
2480,7343,12203
2481,19769,3144
2482,23655,3674
2487,4891,11081
2489,5967attr1272,11490
2491,8172,12592
2492,8359,12712
2495,18817,2560
2496,25960,4581
2502,13703,1798
2503,26567,4977
2504,7327,12192
2506,18966,2661
2507,26055,4652
2508,26634,5023
2510,29687,7427
2511,29873,7593
2512,31910,9110
2513,31910attr1578,9114
2514,31910attr3196,9117
2515,31910attr3197,9118
2516,32124,9331
2518,3750,10506
2519,3855,10570
2522,5078,11129
2537,17775,2245
2538,17792,2250
2546,25984,4601
2549,31736,8938
2550,31741,8943
